frame,path,bytes,sha256,weapon_variant,weapon,trial,driver_phase,audio_seconds,world_seconds,engine_frame,capture_phase,capture_label,width,height,original_individually_viewed,observation
223,Media/frame_00223.jpg,106991,e76c44766fc05f8a90dd01c4e1655c5678efa5e5c0ab7c966362cd51b3931ae0,0,M1911,6,15,8.660063498,8.532532301,790,33,variant 0 / case 6 / phase 15 / explicit collision fixture,1600,900,True,M1911 and HUD 7/56 face five aligned standing targets before the discharge.
224,Media/frame_00224.jpg,109728,456cc35c1da8659ee2cbe2a4f7a59b70f4066e11b0350c915992d23e36b8d221,0,M1911,6,14,8.695617199,8.567325398,793,35,variant 0 / case 6 / phase 14 / explicit collision fixture,1600,900,True,"M1911 muzzle flash and pale tracer cross two targets; blood marks, gold hit marker, ammo 6 and points 250 are visible."
225,Media/frame_00225.jpg,109063,f8ed183378d8be758444d7fb6ba1fed6dccc098f78f58eb9dc52bffdadcc97ec,0,M1911,6,14,8.730926298,8.602763299,796,35,variant 0 / case 6 / phase 14 / explicit collision fixture,1600,900,True,The tracer has faded; small localized blood remains near the first two targets as their death response begins.
231,Media/frame_00231.jpg,103482,2c76d7222575fc0582d1bd9ded4b46000b68979fb3d638a1c66e6ca9cb9e38b3,0,M1911,6,14,8.945647299,8.816939201,814,35,variant 0 / case 6 / phase 14 / explicit collision fixture,1600,900,True,"Trial replacement is already visible: one new standing target and refilled ammo 7; the captured label still names the preceding case. This is fixture cleanup, not corpse disappearance."
324,Media/frame_00324.jpg,104070,6cd3ce46ff51acb24f06237756ccdf0be829d2376a61ee579efd277a6cdea9ea,0,M1911,11,14,12.317655001,12.190607999,1113,55,variant 0 / case 11 / phase 14 / explicit collision fixture,1600,900,True,"M1911 wounded-head trial shows a buckling target, head-height label, blood and +130 award. The marker partly obscures the head; no severance claim from this frame."
516,Media/frame_00516.jpg,109132,e397cb058ed6f21b11cfcb1ff2cf465db9c6d8620929aaa550f77b3d989967fb,1,Last Word,6,15,19.312589198,19.183819901,1745,87,variant 1 / case 6 / phase 15 / explicit collision fixture,1600,900,True,Last Word purple pistol and HUD 14/112 face the aligned targets.
517,Media/frame_00517.jpg,110428,3082a36f432f7ff0cb6eca17cdff93c065901f8cd5befc2639f3f1a4e209e981,1,Last Word,6,14,19.3482715,19.219795,1748,89,variant 1 / case 6 / phase 14 / explicit collision fixture,1600,900,True,"Purple tracer and muzzle light reach through three targets; ammo 13, two left and points 800 are visible."
518,Media/frame_00518.jpg,110391,593f519ecbe1211934bb490d67b205674db228a4898ef11baf18c021312f3730,1,Last Word,6,14,19.384281099,19.255496498,1751,89,variant 1 / case 6 / phase 14 / explicit collision fixture,1600,900,True,The purple tracer fades; localized blood is visible around damaged targets.
522,Media/frame_00522.jpg,111753,516a9fa16dde6db6dbdf241b71e9a4d325fb69c9d21abbe1daf19d06b5f29081,1,Last Word,6,14,19.530047201,19.400818899,1763,89,variant 1 / case 6 / phase 14 / explicit collision fixture,1600,900,True,The first three bodies buckle downward with red particles; the two farther targets remain standing.
563,Media/frame_00563.jpg,104876,4cc82cf3ba4d77934dd809a492422e885353e441d565873e2b0d6206e841cfb2,1,Last Word,8,14,20.9357999,20.809154,1886,97,variant 1 / case 8 / phase 14 / explicit collision fixture,1600,900,True,Last Word low shot leaves a localized leg impact and +10 award while the target remains standing; no detached leg is visible.
622,Media/frame_00622.jpg,106102,b8a0dfb5234d968617f76f25225b5bbb228c8f66b7315ae9b06dca83a486ba89,1,Last Word,11,14,22.962907199,22.835931301,2063,109,variant 1 / case 11 / phase 14 / explicit collision fixture,1600,900,True,Last Word wounded-head target buckles with blood and +130; the gold marker covers part of the head area.
811,Media/frame_00811.jpg,109363,be1f73f82fc9f79efff5f5109b42631ac093ab14d8a9d8f9c34f0b84a24e1cae,2,M4A1,6,15,29.967583098,29.8401265,2701,141,variant 2 / case 6 / phase 15 / explicit collision fixture,1600,900,True,M4A1 shoulder-held rifle and HUD 24/192 face five aligned targets.
813,Media/frame_00813.jpg,111769,36e26f092e5cadb1b3147e0ec0c468e08898fc852c1dc05a539caf4d36ea39f2,2,M4A1,6,14,30.039532799,29.9108175,2707,143,variant 2 / case 6 / phase 14 / explicit collision fixture,1600,900,True,"Pale rifle tracer crosses the first three targets; ammo 23, two left and points 1360 are visible."
814,Media/frame_00814.jpg,110501,80a1edca7bfa45abf9916576b6e6f8fa6aa6ce0fb61a247edcb44371ee22d9a9,2,M4A1,6,14,30.074959397,29.946751699,2710,143,variant 2 / case 6 / phase 14 / explicit collision fixture,1600,900,True,Rifle tracer has faded and small blood particles appear at the affected bodies.
