capture_frame_index,file,bytes,sha256,audio_seconds,world_seconds,engine_frame,width,height,observed_pixels
134,frame_00134.jpg,135943,44c9dcdc2a600baac0e5018112f454576788523b19ec1181b01a6e1c989de451,5.286281001,5.986525800,588,1600,900,Player and M1911 HUD beside Pack-a-Punch; machine unavailable at zero points. No infected is clearly visible in this frame.
301,frame_00301.jpg,94108,76fb54c0c25b6c3a5ec47b042af8422db8182ffb69481f4f6d47d1ba058b4401,11.296682999,11.994403798,1106,1600,900,"Player moves through the central floor while a white Laboratory body lies at the right edge with red blood. HUD shows five left and 150 points; this is a post-kill sample, not a view of the lethal impact."
525,frame_00525.jpg,137096,ae921fdfb01d3c1e534815d181a47452734a69caa6fec00b665bba993a31eaea,19.285368998,19.983320400,1777,1600,900,White Laboratory and blue Maintenance bodies lie to the left while the player moves beside Pack-a-Punch. Their garment silhouettes remain readable.
749,frame_00749.jpg,122152,806bc4ecf87c15fd8767cb984a540042c97d0ed3cea25cac9443289ae239f00e,27.286615100,27.983720701,2449,1600,900,"Round-complete banner; blue workwear, white coat and brown/taupe staff clothing distinguish several floor bodies around the standing player. Blood remains on the floor."
1028,frame_01028.jpg,109936,b17246167fe623bd60bd235de388c3b87914c24583ba0b9c648c02d4f7c9a8f1,37.316226900,38.014324501,3289,1600,900,Round 2 starts with eight left; retained corpses remain in view and another blue-clothed infected approaches from below-left. HUD partially obscures the lower edge.
1299,frame_01299.jpg,115119,a162b8da8a7a25b7714d7d05b4cf4d0fe7a651f106366937c025155885d311a7,47.318894997,48.016901899,4096,1600,900,"Two white-coated infected approach on the far side of the bench and a taupe/brown staff figure approaches from below-right. Corpse pile, blood, depleted magazine/reload and player HP 81 show ordinary encounter consequences."
1514,frame_01514.jpg,129916,376b7cb1d14fa5ca843dd751389ce7cd7210e22f26f3498cdef57f07ba7ecff8,55.298668601,55.996955000,4736,1600,900,"One remaining staff infected approaches the player over/alongside a blue corpse. M1911 is empty with no reserve, points 1920, player HP 81."
1542,frame_01542.jpg,131927,d864840c470c8b01ea7a6ad98b6a210c075ea3563b14fdfa47bbaa54d78941e5,56.312885597,57.011511799,4820,1600,900,Staff raises/turns its upper body beside the blue corpse while the player circles. Feet and corpse overlap in the top-down projection; actual individual foot contacts cannot be resolved.
1569,frame_01569.jpg,143756,eea5f2a7e14d96e8364b502b4518a58d3ddc6c5d2fc745380f370ab095c70547,57.312059999,58.010400999,4901,1600,900,Staff remains upright over the blue corpse near the player; uneven arm posture and pale shirt/brown trousers are readable.
1573,frame_01573.jpg,145643,22ef372c8ed7c76343ced0f74c3db182ebcae07cab2bbd0e059fe44c2d38cfa8,57.456729900,58.154858701,4913,1600,900,Beginning of the logged contact-fall interval: staff is still mostly upright/tilted beside the corpse. This single frame does not establish exact contact force.
1585,frame_01585.jpg,143875,7f22c34812e4e075fa1db55f1895ee26c08e1796766a8990354a1b78e5acc90f,57.890774600,58.589348599,4949,1600,900,"Staff has rotated downward across the blue body with extended limbs, showing the fall rather than an immediate standing-to-flat replacement."
1600,frame_01600.jpg,131178,cf02ea3e60018b2dcb1f7d3e3f74790e0ff44eb1a92686a3d959b704ba5d9d37,58.439261299,59.136267800,4994,1600,900,"Staff now lies beside/across the blue body, head to the right and legs to the left. Player moves away and HP has begun returning (83)."
1624,frame_01624.jpg,119879,77e503acf364399e10fda6e985b94d6620ddbc6e16989d51ecddce711c21111c,59.319181699,60.017113101,5066,1600,900,The fallen pair remains near the top of the view while the player passes a separate corpse pile; player HP 91.
1684,frame_01684.jpg,116230,3fd27072585a057f4c59c5faab4ec3c5f6ba30af5f02af08e3b9313045fa71af,61.550336897,62.248361301,5246,1600,900,Pre-effort adjacent frame: staff and blue body lie near the top edge; some upper-edge anatomy is cropped. Player HP 100; no reserve.
1685,frame_01685.jpg,116045,5f890c78224a517fad8347e0d642f9ea509390f8778a7c57d5495eb3b6d487ad,61.587078899,62.284787200,5249,1600,900,Adjacent effort frame: the pair remains down near the upper edge. Small pose/position differences are difficult to separate from the moving camera.
1686,frame_01686.jpg,115778,430a415701493ee5cb718aefb24dfbe789fd351e28a17aaf58ca3fda3dc3b0b4,61.624086399,62.321484301,5252,1600,900,"Adjacent effort frame: no visible large upward launch, body jump or large displacement. The logged centimetre-scale travel is not independently measurable from this view."
1687,frame_01687.jpg,115572,1582fd29ab29d948c2dfe0a1eba81f5cfecb8c3b707d7fe0de84e5f9e3c07c50,61.660932299,62.358500700,5255,1600,900,Adjacent effort frame: staff remains grounded beside the corpse; the body is small and near the upper edge.
1688,frame_01688.jpg,115356,bb2244889c537a8ad60fae7080dc6bf7e7c563025abfca5da1e07a17afa9c7c0,61.697519198,62.395293001,5258,1600,900,Immediately after the logged lost_floor stop: the pair still lies together. These images do not establish successful force-driven escape.
1753,frame_01753.jpg,107387,2b9062d57c0d6e2fd6e7f1434c1a2640d7b0c2ac0d99e176d11cc3846317e3a4,64.101482797,64.797615200,5453,1600,900,"Pair remains visibly down in the upper-right, with a separate corpse pile beside the bench. Staff has not visibly returned to pursuit."
1898,frame_01898.jpg,131414,fc021c8080f765043d33a1b3994bbb4613732a3975cafe770ee17eb78ca6492a,69.289111800,69.987825200,5885,1600,900,Staff and blue corpse are both clearly present near the player. This is the last selected frame showing that blue corpse beside the recovering actor.
1955,frame_01955.jpg,130530,c5f6bcb50651d5b811fa5eec17a2689c1d931153d326aef61fe5ec9e0ed63427,71.316671699,72.016396999,6056,1600,900,Blue corpse beside staff is absent; staff remains alone on the floor. Other corpses remain around the bench. This change precedes the selected recovery frames.
1976,frame_01976.jpg,117492,933add8e3b76e2a7daa660716a158ecf129bc249e49de202a838e1475bd1fb19,72.058528598,72.757766299,6119,1600,900,Staff remains alone in its lying pose just before the logged get-up start; the pair separation is already present.
1978,frame_01978.jpg,116741,bd4da0ffba76cac09c14fa528cfb3e6e216f1789df2bc331a69fb3f58c73846c,72.131848797,72.829301499,6125,1600,900,Early snapshot-to-authored recovery interval: staff remains low and lying; no instant vertical displacement is visible.
1983,frame_01983.jpg,113904,5a931c85a9cd2fae776ebb7b670d3b4edd584408f17c806003e92a1148baad23,72.312385798,73.011666499,6140,1600,900,"Staff has extended into the prone starting shape, feet behind its body and arms bent beside the torso. The change from the settled asymmetrical pose is visible."
1997,frame_01997.jpg,114362,a19a0bd3eb30f449e3cee43080f540ffc8a9a088f6f3aa006f6ca12a91f543c9,72.807921197,73.506986700,6182,1600,900,Torso is supported above the floor with bent arms and legs extended behind; right hand/forearm support is readable at this camera distance.
2011,frame_02011.jpg,111636,50e154a346da9dda8fd4623ed5250381bb3f329b8585b3132ec0083296477134,73.308537301,74.005384799,6224,1600,900,One knee comes under the torso while an arm stays near the floor; the other leg is still extended behind.
2026,frame_02026.jpg,112863,b05eab500450384908cc33b118755e7917e5e803b340836269638ed6820a652b,73.843872000,74.542590600,6269,1600,900,"Staff is in a compact kneeling/foot-underbody posture, with one hand visibly low. This reads as a supported rise at the sampled instants."
2039,frame_02039.jpg,113256,32c00d302af0285e8ae861044013c5b64b3db007d2737bf804e5ca51ee15071c,74.300511498,75.000290200,6308,1600,900,"Staff rises into a lunge/stand near the top edge; head and upper torso are cropped by the moving camera, limiting assessment of the final balance transition."
2059,frame_02059.jpg,111000,56f5c1da3b17e76f9fae0742b4e2c43d69a795445755a83b5f28e3e8814e6250,74.990471400,75.689867798,6368,1600,900,Legs/low torso are upright near the top edge at the logged completion boundary; the upper body is cropped.
2068,frame_02068.jpg,110814,e2ca5917b34f8fb6d011b39258ad54cc4caba7915fc9929c671603bde2f4a6d6,75.302167900,76.002082698,6395,1600,900,Staff is upright and beginning forward movement toward the player; most of the figure is visible near the upper edge.
2177,frame_02177.jpg,134955,028b839a16e1e46093293eee135e8e1a1110258c19f860b79dbea2caf81a967d,79.299104299,80.000182401,6753,1600,900,"Recovered staff is fully in view pursuing the player through the upper arena. The M1911 remains empty, player HP 100."
2445,frame_02445.jpg,103291,312e608e9d09b2082f19009b1e02d0dcb029ce82611ec977af98ea9ed3f26f11,89.287458099,89.988479599,7668,1600,900,"Staff follows the circling player beside a bench. Earlier corpse pile has retired, leaving blood; no replenished ammunition is shown."
2708,frame_02708.jpg,111636,4f2798a77c640754966d34f44eb2221c2929bd6df67edec075cfcf524a53840c,99.283666499,99.985047501,8596,1600,900,Staff continues approaching the player on a clear path beside the bench; limbs remain coherent and no further fall is visible in this sample.
2945,frame_02945.jpg,134399,67b334fab59efe05ebcb77b4f7dc6c21776512e49bba48a73f4bcb1ffeac5175,108.294051398,108.995411299,9438,1600,900,"Late encounter: staff is still upright near the player and the HUD still shows one left, empty M1911 and HP 100. The run did not finish the second wave."
